Entity 1,Relation,Entity 2
Mp3 Songs Download,redirect,http://mp3song-s[DOT]com
Arid Gopher,connects to,http://jumpstartmail[.]com/IURTIER3BNV4ER/DWL1RucGSj/4wwA7S8jQv
Arid Gopher,follows,http://jumpstartmail[.]com/IURTIER3BNV4ER/AJLUK9BI48/0L6W3CSBMC
Arid Gopher,endpoint,http://jumpstartmail[.]com
Tor consensus data,URL,http://[HOST_IP_AND_PORT]/tor/status-vote/current/consensus.z
3.avi,download from,http://89.34.111.11/3
wmic,download,http://194.180.174.254/111
Tick,use,htpc[.]jp
executable backdoor,contains,html.xml
Korplug/PlugX,use,hpcustpartui.dll
Micropsia,execute,hostupbroker.exe
Micropsia,includes,hostupbroker.exe
C&C server,domain,host-manager.hopto.org
Tinba,has feature,hooks into browsers
C2 IP addresses,associated with,hivnd[.]com
Conti ransomware,used in,high-profile ransomware attacks
Dr. Zeus,used,hidden remote channels for smartcard control
PurpleHaze,creates,hidden VFS
scamadviser.com,negative reviews from,herbertm[.]shop
Notepad++,used by,gup.exe
powershell.exe,run,gpupdate
malicious PowerShell script,delivered by,gpla[.]gov[.]ly
PowerShell script,execute,gp.ps1
dropper malware,reach out to,goog1eupdate[.]com
runner.exe,used,go-ps library
variants,embed,glcloudservice[.]com/v1/status
spearphishing and intrusion campaign,related to,gh.exe
PowerShell command,connect to,gg1593[.]c1[.]biz
www.madafak[DOT]in,load,ga.js
VirtualBox,delivered via,fuckyou.msi
VirtualBox,delivered via,fuck.msi
spearphishing and intrusion campaign,related to,fslist.exe
Midjourney-x64.msix,execute,frank_obfus.ps1
spearphishing and intrusion campaign,related to,fpso.bigish[.]net
Pterodo backdoor,executed from,foto.safe
ZXShell,has,formdll.dll
Iron Tiger,link to,formdll.dll
perlbot,use,flooding attacks
CSIDL_SYSTEM_DRIVE\inetpub\wwwroot\aspnet_client,write to,flogoff.aspx
Intego,discovers,first variant of Flashback
Tor,used by,firefox.exe
Dyre,belong to,financial fraud Trojan
Dridex botnet,originally built for,financial attacks
Trickybot,is,financial Trojan
PowerShell,seen with,financial Trojan
Ramnit,is,financial Trojan
Emotet,is,financial Trojan
rundll32.exe,downloaded and executed,final.cpl
attacker,execute,final.cpl
C:\users\public\mde.ps1,download,file.zip
MyDoom,spread through,file-sharing utilities
diagnostics.zip,compressed into,file
DefenderSvc.dll,exist,file
UPX,compress,file
malware,named,fiche de poste.exe
malware,named,fiche de candidature.pdf.exe
malware,contain,fiche de candidature(1
7986bbaee8940da11ce089383521ab420c443ab7b15ed42aed91fd31ce833896,SHA256,ffmpeg.dll
3CX DesktopApp,load,ffmpeg.dll
1817a5bf9c01035bcf8a975c9f1d94b0ce7f6a200339485d8f93859f8f6d730c,load,festive_computer.jpg
libffmpeg.dylib,hash,fee4f9dabc094df24d83ec1a8c4e4ff573e5d9973caa676f58086c99561382d7
z4z05jn4.egf.exe,hash,fd9a9dd9c73088d1ffdea85540ee671d8abb6b5ab37d66a760b2350951c784d0
spearphishing and intrusion campaign,related to,fcbbfadc992e265c351e54598a6f6dfb
imjpuex.exe,SHA256,fb5bc4baece5c3ab3dabf84f8597bed3c3f2997336c85c84fdf4beba2dcb700f
APT actors,upload,fassdfsdf.html
MgBot Plugins,deploy,famdowm.dll
Flashback Trojan,uses,fake installer of Adobe Flash Player
TaxReturns2022.pdf.lnk,hash,fa862d43a85a9ea6f046f3edc743b897bba86348c04b8d62ba6eb27f951edf55
Veiledsignal,contains,f8c370c67ffb3a88107c9022b17382b5465c4af3dd453e50e4a0bd3ae9b012ce
deep-green.exe,hash,f6c56a51c1f0139036e80a517a6634d4d87d05cce17c4ca5adc1055b42bf03aa
rhnoiniye_ni.dll,hash,f49a5a0f2397609a3fb97728b5a997eb77cfa1b529188403fb5e8adaeac1860b
BeagleBoyz,use,f34b72471a205c4eee5221ab9a349c55
Teardrop,sample hash,f2d38a29f6727f4ade62d88d8a68de0d52a0695930b8c92437a2f9e4de92e418
Proxy configuration tool,hash,f138d785d494b8ff12d4a57db94958131f61c76d5d2c4d387b343a213b29d18f
XMRig,hash,f06d698967cee77e5a7bf9835b0a93394097e7590c156ed0d8c6304345701cfa
Log4j application,connect to,external command-and-control servers
Grixba,compresses,export.zip
Tinba,injects into,explorer.exe
Surfcop,replaces,explorer.exe
ScrubCrypt,invoke,explorer.exe
Preft backdoor,inject,explorer.exe
Sagerunex,uses,explorer.exe
Chinese state-sponsored cyber actors,inject into,explorer.exe
svchost.exe,execute,explorer.exe
Kimsuky,inject,explorer.exe
Infection,caused by,exploit on website
toolset,include,exfiltration tool
html.xml,payload,executable backdoor
kdump64.dll,decryptor and loader,executable backdoor
s[.]livelyhellp[.]chat,seen in,executable backdoor
TrickBot,contain,example.com
PowerShell script,use file name,evidence.rtf.lnk
Budworm,belong to,espionage group
sophisticated loader,used for,espionage campaigns
Stonefly,mount,espionage attack
Sowbug,mount,espionage attack
ShadowPad,linked to,espionage actors
Antlion,involved in,espionage activities
Cicada,goal of,espionage
Lazarus,for,espionage
attacker,motive,espionage
TrickBot,use,esentutl
malware,log,err.txt
administrative portal,tool,enterprise application
phs,contains,encrypted list of CC URLs
Micropsia,execute,embededmodeservice.exe
malicious email campaigns,employ,email templates
LockBit ransomware gang,use,email protected] [.]com
enterprise application,tool,email inboxes
fundelivereddss[.]com,seen in,electrical contractor
DoRVA,terminate,ekrn.exe
DoRVA,terminate,egui.exe
https://github.com/zcgonvh/EfsPotato,copy,efspotato.exe
encrypted shellcode,activates,efspotato.exe
attacker's infrastructure,IP,ee32bde60d1175709fde6869daf9c63cd3227155e37f06d45a27a2f45818a3dc
spearphishing and intrusion campaign,related to,ed92d1242c0017668b93a72865b0876b
Backdoor.Daxin,hash,ea3d773438c04274545d26cc19a33f9f1dbbff2a518e4302addc1279f9950cef
scripts,use,eHorus
Trochilus RAT,hash,e69177e58b65dd21e0bbe4f6caf66604f120e0c835f3ee0d16a45858f5fe9d90
spearphishing and intrusion campaign,related to,e62afe2273986240746203f9d55496db
join_06[1].htm,hash,e31af5131a095fbc884c56068e19b0c98636d95f93c257a0c829ec3f3cc8e4ba
Launcher_S0FT-2O23.exe,hash of this file,e256b5ef66c4e56dac32934594b41e7e8cf432f834046e1c24c0827b120e6ddb
Corentry,sample,e20d5255d8ab1ff5f157847d2f3ffb25
Backdoor.Winnkit,hash,e1e0b887b68307ed192d393e886d8b982e4a2fd232ee13c2f20cd05f91358596
Veiledsignal,hash,e185c99b3d1085aed9fda65a9774abd73ecf1229f14591606c6c59e9660c4345
web server,hosted by,e-qht.az
Leafminer,host,e-qht.az
post-compromise tools,originating from,e-qht.az
Billbug,use,dual-use tools
Ransomware,rely on,dual-use tools
APT actors,use,dp_crypto.py
Malekal_morte,suggests,downloading explorer.exe
chfeeds.vbe,acts as,downloader
scam messages,cite,download.tw1988[.]link
attackers,proceed to,download backdoor
TgToxic,download from,down[.]tw1988[.]link
Noberus,carry out,double extortion
Dorusio,website,dorusio[.]com
VPN server,tool,domain controllers
web shells,connect to,domain controllers
BianLian,move laterally to,domain controller
attacker,gained access to,domain controller
exp.exe,connect to,domain controller
Thor.dll,create,domain accounts
Kimsuky,use,document stealer module
PowerShell script,use file name,do_not_delete.rtf.lnk
attackers,run,dnscmd.exe
LockBit,injects code into,dllhost.exe
affiliates,use,distinct tools
Shamoon group,carried out,disk-wiping attacks
Exbyte,check,dir_watch.dll
T1095,use,dir.exe
Kimsuky,save,dfe8b437dd7c417a6d.tmp
ntusers.ini file,copied to,desktop.ini file
active_desktop_render.dll,load and decrypt,desktop.ini
Shuckworm,use,descend.exe
Shuckworm,use,depended.lnk
depended.lnk,execute,depended.exe
mshta.exe,abusing by,depended.exe
Pterodo,installed via,depended.exe
.NET backdoor code,HTTP call to,default.aspx
Pterodo,download and execute,deerskin.exe
deep-sided.fly,download and execute,deerskin.exe
descend.exe,drop,deerbrook.ppt
SCHTASKS,create,deep-versed.nls
descend.exe,download,deep-sunken.tmp
z4z05jn4.egf.exe,similar to,deep-sunken.exe
deep-sunken.tmp,rename to,deep-sunken.exe
Pterodo,execute,deep-sided.fly
descend.exe,contacts,deep-pitched.enarto.ru
deep-versed.nls,save as,deep-green.exe
Crash Handler,execute,ded734f79058c36a6050d801e1fb52cd5ca203f3fd6af6ddea52244132bd1b51
Backdoor.Pterodo.D,download,declined.delivered.maizuko[.]ru
attacker,execut,debug.bat
94e3fbcfb8d6f3fae34b1bc196c78082d35dc5a0084510c2c0b3ef38bc7b9cc2,has MD5,debfdbd33d6e4695877d0a789212c013
deep-green.exe,hash,de5a53a3b75e3e730755af09e3cacb7e6d171fc9b1853a7200e5dfb9044ab20a
APRL27.htm,command,ddond.com
Mimikatz,file,dd.exe
AsyncRAT,hosted on,dc5b-163-123-142-137[.]ngrok[.]io
itinerary.zip,hosted on,dc5b-163-123-142-137[.]ngrok[.]io
travel_details.iso,hosted on,dc5b-163-123-142-137[.]ngrok[.]io
activities_and_dates.iso,hosted on,dc5b-163-123-142-137[.]ngrok[.]io
Itinerary.exe,hosted on,dc5b-163-123-142-137[.]ngrok[.]io
Exbyte,check,dbghelp.dll
Rundll32.exe,renamed,dbengin.exe
SQLite DLL,start,data.dat
tunneling tool,used for,data exfiltration
Ai.type,suffered,data breach
hidden VFS,stores,data
aviary.xml,contents,dashboard
dakotavolandos.com,has domain,dako22tavol2andos.com
dakotavolandos.com,has domain,dak1otavola1ndos.com
custom malware,hash,d9f0c35cc7aab2984d88490afdb515418306146ca72f49edbfbd85244e63cfabd
msvcr100.dll,hash,d937e19ccb3fd1dddeea3eaaf72645e8cd64083228a0df69c60820289b1aa3c0
spearphishing and intrusion campaign,related to,d6eaadcbcf9ea9192db1bd5bb7462bf8
Msrpcsvc.dll,hash,d5df686bb202279ab56295252650b2c7c24f350d1a87a8a699f6034a8c0dd849
Proxy configuration tool,hash,d4e1f09cb7b9b03b4779c87f2a10d379f1dd010a9686d221c3a9f45bda5655ee
dakotavolandos.com,has domain,d4ak4otavolandos.com
11be1803e2e307b647a8a7e02d128335c448ff741bf06bf52b332e0bbf423b03,SHA256,d3dcompiler_47.dll
3CX DesktopApp,load,d3dcompiler_47.dll
dakotavolandos.com,has domain,d3akotav33olandos.com
Tick,use,d3031438d80913f21ec6d3078dc77068
[TEMP]\[RANDOM_DIGITS].doc,hash,d295712185de2e5f8811b0ce7384a04915abdf970ef0f087c294bb00e340afad
BeagleBoyz,use,d1d779314250fab284fd348888c2f955
4144bc0bf25e55fbc65c1c03831ab1a82bc9cb267f8dd6264f5d0c55585ffd55,has MD5,d1c13acddb7c13d0cf5a5c49e53a2906
deep-green.exe,hash,d15a7e69769f4727f7b522995a17a0206ac9450cfb0dfe1fc98fd32272ee5ba7
Trochilus,useful in,cyber-espionage operations
Shuckworm,specialize in,cyber-espionage campaigns
Shuckworm group,conduct,cyber-espionage attacks
Russia,launch,cyber campaign
Shuckworm,mount,cyber attacks against Ukraine
PowerShell script,named,cve-2021-34527.ps1
Cicada,use,custom malware
Blacktail,use,custom malware
Harvester,use,custom malware
Cicada,deploy,custom loader
Cicada,use,custom loader
Grayfly,install,custom backdoors
Harvester,use,custom backdoors
Exchange server,execute,current.exe
Mimikatz,execute,csidl_system_drive\perflogs\ulsassx64.exe
javac.exe,copy to,csidl_program_files\windows mail\winmailservice.exe
FastUploader,install to,csidl_profile\appdata\roaming\adobe\ftp.exe
CrowdStrike processes,disable,csfalconservice
CrowdStrike processes,disable,csdevicecontrol
CrowdStrike processes,disable,csagent
XMRig,for,cryptojacking
MacStealer,steal,cryptocurrency wallets
Trojan.Coinminer,is,cryptocurrency mining
Trojan.Verblecon,goal,cryptocurrency miners
PowerShell,seen with,cryptocurrency miner
Clipminer,mine for,cryptocurrency
CVE-2021-26084,exploited by,crypto miner
init.ps1,include,crustwebsites[.]net
PowerShell script file,include,crustwebsites[.]net
Chinese state-sponsored cyber actors,use,crontab
d.sh script,add,cronb.sh
curl command,download,cronb.sh
Process Telemetry,detect,cronb.sh
ScarCruft,embed,credential phishing webpages
ScarCruft,send,credential phishing webpages
ScarCruft,serve,credential phishing webpages
JavaScript codes,loaded in,creative.strpjmp.com
creative.strpjmp.com,make GET request to,creative.strpjmp.com
Merdoor,use,createdump.exe
Costura,file,costura.commandline.dll
offspring.gif,download,corolain.ru
ransomware,include,connh.exe
certutil,download,confluence[.]novus[.]ua
file.zip,contain,config.json
Proxy configuration tool,requrie,conf.dat
threat actor,use,comsvcs.dll
rundll32.exe,use,comsvcs.dll
Tick,use,compromised web servers
PowerShell,executed,"comms.exe, file"
Cobalt Strike,considered,commodity malware
variants,use,command-and-control server
Backdoor.Pterodo,communicate with,command-and-control server
Backdoor.Pterodo,use,command-and-control (C&C
ZLib DLL,export,command-and-control (C&C
AsyncRAT,send information to,command-and-control (C&C
Surfcop,cannot access,command prompt in safe mode
attacker,use,command prompt
postinstall script,move,com.Ants2whale.pkg.wallet.plist
Merdoor,abuse,coinstcfg.dat
CoinGoTrade,domain,coingotrade[.]com
Clipminer,payload,coin mining
CVE-2021-44228,been exploited to,coin miners
Merdoor,abuse,coInst.exe
Mirai Variant,C&C server,cnc[.]goodpackets[.]cc
ransomware,include,cname.exe
Exbyte,check,cmdvrt64.dll
Exbyte,check,cmdvrt32.dll
CSIDL_SYSTEM_DRIVE\[REDACTED]\infopagesbackup\ncat.exe,issue,cmd.exe
KONNI,use,cmd.exe
wab.exe,run,cmd.exe
Noberus,execute,cmd.exe
Russian state-sponsored APT actors,use,cmd.exe
planeta.exe,execute,cmd.exe
scheduled task,run,cmd.exe
LockBit,end,cmd.exe
BlackByte,use,cmd.exe
wmic,execute,cmd.exe
init.ps1,include,cloudflare-ipfs[.]com
PowerShell script file,include,cloudflare-ipfs[.]com
Chinese state-sponsored cyber actors,use,cloud storage services
reverse shell,connect to,closed[.]theworkpc[.]com
Clipminer,payload,clipboard hijacking
Chinese state-sponsored cyber actors,use,clipboard
ransomware,include,client.exe
PurpleHaze,includes,clicker component
Tinba,aims to,circumvent Two factor Authentification (2FA
chrome_frame_helper.exe,disguised as,chrome_proxy1.exe
Merdoor,abuse,chrome_frame_helper.pak
WMI,run,chrome_frame_helper.exe
WMIC,launch,chrome_frame_helper.exe
at.exe,schedule execution,chrome_frame_helper.exe
Google Chrome Frame,parent file,chrome_frame_helper.exe
Merdoor,abuse,chrome_frame_helper.exe
Merdoor,abuse,chrome_frame_helper.dll
Tick,use,charlie-harada[.]com
Tinba,has configuration file,cfg.dat
BeagleBoyz,use,cf733e719e9677ebfbc84a3ab08dd0dc
Backdoor.Winnkit,hash,cf6bcd3a62720f0e26e1880fe7ac9ca6c62f7f05f1f68b8fe59a4eb47377880a
Earth Preta,use,certutil.exe
Command Prompt,copy,certutil.exe
Command Prompt,rename,certutil.exe
postgresql.exe,execute,certutil
rootkits,signed with,certificates
Phishing: Spearphishing Link,domain,celasllc[.]com
Sectigo certificate,used for,celasllc[.]com
ransomware,include,cdir.exe
spearphishing and intrusion campaign,related to,ccApp1.exe
winscard.dll,hash,cc4eedb7b1f77f02b962f4b05278fa7f8082708b5a12cacf928118520762b5e2
ESET,discover,campaign
keylogger,used in,campaign
7zr,used in,campaign
Password Dumper,used in,campaign
SharpChisel,used in,campaign
Mimikatz,named,calc.exe
attackers,execute,calc.exe
attackers,installed,cal.exe
Backdoor.Winnkit,hash,caba1085791d13172b1bb5aca25616010349ecce17564a00cb1d89c7158d6459
scripts,use,cURL
Trochilus Dropper,hash,c71e0979336615e67006e20b24baafb19d600db94f93e3bf64181478dfc056a8
TaxReturns2022.zip,hash,c4599d4270ba8ef58fb8f1219ecff864acd83145c368ada9406a341d6f4a4fbf
wiecatinsu8.exe,has MD5,c141be7ef8a49c2e8bda5e4a856386ac
Tick,use,c-saika[.]jp
Clasiopa,use,brute force attacks
dp_crypto.py,execute,brute force attack
ransomware-as-a-service,involve,breached data
Raindrop,installed under the name,bproxy.dll
Dyre,use,botnet
AndoryuBot,belong to,botnet
Necurs,is,botnet
malicious actor,uses,bot core
Andromeda bot,type,bot
5.252.176[.]49,connect to,blonk[.]co
blackfriday[.]com,redirect to,blackftiday[.]com
slickdeals[.]net,owns subdomain,blackfriday[.]slickdeals[.]net
MgBot Plugins,deploy,bkmk.dll
Raindrop,sample hash,be9dbbec6937dfe0a652c0603d4972ba354e83c06b8397d6555fd1847da36725
WinRAR archive,hash,bd48b5da093a37cfa5e3929c19ac06ce711bd581bc49040e68d2ba0e5610bf71
BCDEdit,use,bcdedit.exe
wscript.exe,execute,battery.dat
cmd.exe,execute,battery.cmd
LockBit,use,batch scripts
Mealybug,distributing,banking Trojan
Tinba,type,banker trojan
HCL Domino,proximity to,backdoors
.ashx files,run as,backdoors
attacker,use,backdoors
Trojan.Kwampirs,is,backdoor Trojan
Gatak Trojan,belong to,backdoor Trojan
archiver tool,executed,backdoor
malicious Java class file,act as,backdoor
LookBack,execute,backdoor
PhpSpy,is,backdoor
4896.exe,belong to,backdoor
Frebniis,deploy,backdoor
Lancefly,use,backdoor
web shell,executed,backdoor
Flea,use,backdoor
web shells,provide,backdoor
Atharvan,belong to,backdoor
Cobalt Strike,for,backdoor
baby.dat,execute,baby.cmd
Trochilus Dropper,hash,b9a0602661013d973bc978d64b7abb6bed20cf0498d0def3acb164f0d303b646
Teardrop,sample hash,b820e8a2057112d0ed73bd7995201dbed79a79e13c79d4bdad81a22f12387e07
09478bf4833505d3d7b66d4f30ccce6b9fde3ea51b9ccf6fdeadc008efba43d8,has MD5,b6991e7497a31fada9877907c63a5888
ed09eee5ff1de74f7af7d9666a321726e745ef12c5766753b75c20c00ed6dd9b,has MD5,b4b9486d3eea4dc3b643b6bd89a4a67d
BeagleBoyz,use,b484b0dff093f358897486b58266d069
deerbrook.ppt,hash,b46e872375b3c910fb589ab75bf130f7e276c4bcd913705a140ac76d9d373c9e
csidl_system_drive\perflogs\ulsassx64.exe,hash,b3eb783b017da32e33d19670b39eae0b11de8e983891dd4feb873d6e9333608d
Tick,use,b33f4b8e776b94dc48c234ce9897cf74
Mimikatz,hash,b28456a0252f4cd308dfb84eeaa14b713d86ba30c4b9ca8d87ba3e592fd27f1c
AdFind,hash,b1102ed4bca6dae6f2f498ade2f73f76af527fa803f0e0b46e100d4cf5150682
Gh0st RAT,shellcode loader,b0a58c6c859833eb6fb1c7d8cb0c5875ab42be727996bcc20b17dd8ad0058ffa
c33b7e2da7e7746950615f04bca55603f6c9082dd2352efe12173f408494c660,has MD5,b062be1e561c20b6fb829ad9a3303431
variants,embed,azureonlinestorage[.]com/google/storage
variants,embed,azuredeploystore[.]com/cloud/images
basdinopowadoar.com,has domain,azonpowzanadinoar.com
Sunburst,attempt to resolve,avsvmcloud[.]com
malicious binary code,beaconing to,avsvmcloud[.]com
Exbyte,check,avghookx.dll
Exbyte,check,avghooka.dll
USB Driver.exe,copy,autorun.inf
Mirai,involved in,attacks against Brian Krebs’s website
Seedworm,responsible for,attacks
affiliates,conduct,attacks
Iran,linked to,attacks
cmd.exe,pull,attackers' servers
apitstatus.com,post,attackers' domain
PasswordRevealer,used by,attackers
sc.exe,used by,attackers
ShadowPad,is used by,attackers
vdir,launched by,attackers
AnyDesk,used by,attackers
AdFind,equip,attackers
Yanluowang,deployed by,attackers
Sodinokibi,used by,attackers
Ammyy Admin,leveraged by,attackers
AnyDesk,leveraged by,attackers
Cent web browser,used by,attackers
ShadowPad,used by,attackers
imjputyc.exe,used by,attackers
imjpuex.exe,used by,attackers
ProxifierPE,proxy connections to,attacker-controlled infrastructure
Cobalt Strike Beacon,call back to,attacker-controlled infrastructure
instructor[.]giize[.]com,redirect to,attacker's IP
GuLoader,used by,attacker
Mimikatz,used by,attacker
Revealer Keylogger,used by,attacker
.NET downloader,used by,attacker
Netwire RAT,used by,attacker
Backdoor.Cobalt,used by,attacker
C&C server,used in,attack chain
163[.]123[.]142[.]210,originate from,attack
185[.]17[.]0[.]19,originate from,attack
backdoors,name,atharvan.exe
PAExec,launch,at.exe
Trojanized updates,connect to,asushotfix[.]com
Raindrop loader,installed in,astdrvx64.dll
BitRAT,inject,aspnet_compiler.exe
Fileless Malware 3,inject,aspnet_compiler.exe
arm.bat,executed,arm.dat
scheduled task,run,arm.bat
ping.exe,ping,arianat.ru
C&C server,domain,arianat.ru
proposal_pakistan110.chm:error.html,opened by,archiver tools
proposal_pakistan110.chm:error.html,opened by,archiver tool
web application firewalls,mitigate,application-level DDoS attacks
Java,used for,applet parameters for deobfuscation flow
apo.js,load,app[.]meiqiacontents[.]com
apo.js,send,app[.]meiqiacontents[.]com
Rampant Kitten,hidden in,app
https://apitstatus.com/api.js?v=3.0.8,domain,apitstatus.com
Exbyte,check,api_log.dll
down[.]tw1988[.]link,C&C,api[.]tw1988[.]link
Sunburst,check,api.solarwinds.com
AndoryuBot,send GET request to,api.ipify.org
Ants2Whale,site,ants2whale[.]com
LockBit 3.0,modify,antivirus
Mytob,block,anti-virus software
API server,deploy,alpine-based container
variants,embed,akamaitechcloudservices[.]com/v2/fileapi
atharvan.exe,renamed to,agile_update.exe
REvil,deliver,agent.crt
VBS script,runs,agent
ransomware-as-a-service,involve,affiliates
Tinba,uses,advapi32.dll
Slingshot,belong to,advanced persistent threat (APT
Gh0st RAT,use by,advanced persistent threat (APT
Billbug,belong to,advanced persistent threat (APT
Felismus,file name,adobecms.exe
BeagleBoyz,use,administrative tools
cdn2[.]duc3k[.]com,sibling domain,admin[.]duc3k[.]com
Pterodo,download,additional code
attacker,run,addins.cpl
deerskin.exe,SHA256,ad1f796b3590fcee4aeecb321e45481cac5bc022500da2bdc79f768d08081a29
T1573.001,used by,actors
Ngrok,used in,activity
GuLoader,used in,activity
PsExec,used in,activity
Cobalt Strike Beacon,used in,activity
Revealer Keylogger,used in,activity
RDPWrap,used in,activity
active_desktop_launcher.exe,load,active_desktop_render.dll
efspotato.exe,has,active_desktop_render.dll
efspotato.exe,has,active_desktop_launcher.exe
TOR relays,access,accounts and malware repositories
VirtualBox,delivered via,aa51978f.msi
Setup.exe,hash,aa318070ad1bf90ed459ac34dc5254acc178baff3202d2ea7f49aaf5a055dd43
[TEMP]\logexts.dll,hash,a73a4c0aa557241a09e137387537e04ce582c989caa10a6644d4391f00a836ef
[TEMP]\logexts.dat,hash,a6b9975bfe02432e80c7963147c4011a4f7cdb9baaee4ae8d27aaff7dff79c2b
libffmpeg.dylib,hash,a64fa9f1c76457ecc58402142a8728ce34ccba378c17318b3340083eeb7acc67
Tick,use,a629926313ee12163e1bdd2bb633e0e2
[TEMP]\sc.cfg,hash,a618b3041935ec3ece269effba5569b610da212b1aa3968e5645f3e37d478536
DoRVA,hash,a6020794bd6749e0765966cd65ca6d5511581f47cc2b38e41cb1e7fddaa0b221
spearphishing and intrusion campaign,related to,a46a7045c0a3350c5a4c919fff2831a0
ForkPlayground,hash,a3acb9f79647f813671c1a21097a51836b0b95397ebc9cd178bc806e1773c864
Backdoor.Winnkit,hash,a3078d0c4c564f5efb1460e7d341981282f637d38048501221125756bc740aac
defiant.exe,hash,a20e38bacc979a5aa18f1954df1a2c0558ba23cdc1503af0ad1021c330f1e455
mshta.exe,downloaded from,a0698649[.]xsph[.]ru
attackers,launch,a.ps1
DoRVA,read and delete,\TdiProxy0
Backdoor.Pterodo.D,create,[USERPROFILE]\atwuzxsjiobk.ql
Backdoor.Pterodo.D,create,[USERPROFILE]\abide.wav
Trochilus dropper,drop,[TEMP]\sc.cfg
Trochilus dropper,drop,[TEMP]\logger.dat
LoadLibraryA,load,[TEMP]\logexts.dll
Trochilus dropper,drop,[TEMP]\logexts.dll
Trochilus dropper,drop,[TEMP]\logexts.dat
Trochilus dropper,drop,[TEMP]\[RANDOM_DIGITS].doc
Trochilus dropper,drop,[TEMP]\Logger.exe
Custom Downloader,check,[ARTEFACTS_FOLDER]\winser.dll
Tinba,stores components in,[%userprofile%]/Application Data/Default/bin.exe
Tinba,aka,Zusy
Grixba,checks for existence of,Zoho
Chinese state-sponsored cyber actors,use,Zip and RAR archive tools
176[.]65[.]137[.]5,C2 server,Zerobot
hxxp://176[.]65[.]137[.]5/bins/zero[.]x86,distribute,Zerobot
C2 servers,distribute,Zerobot
third-party payment processors,include,Zelle
Merdoor backdoor,access to,ZXShell rootkit
Lancefly,use,ZXShell Rootkit
ZGrab,deprecated,ZGrab2
d.sh script,use,ZGrab scanner
TeamTNT,use,ZGrab
Eamfo,used by,Yanluowang
Trading Technologies,developer,X_Trader
attack,start from,X_TRADER_r7.17.90p608.exe
malware,drop,X_TRADER.exe
X_TRADER_r7.17.90p608.exe,examine,X_TRADER-ja.mst
PowerShell command,execute,XMRig miner
file.zip,contain,XMRig cryptocurrency mining software
Iranian government-sponsored APT actors,installed,XMRig crypto mining software
Bash scripts,download,XMRig crypto miner
Grixba,checks for existence of,XMReality
Multi-OS_ReverseShell.exe,dropped from,XEReverseShell.exe
Witchetty,use,X4
QAKBOT,use,Wscript
LockBit,end,WordPad
Miner group,aka,Wizard Spider
Miner cyber-crime group,aka,Wizard Spider
Conti,aka,Wizard Spider
LockBit,end,Wireshark
Blackfly,use,Winnti/Pasteboy
SparklingGoblin,linked to,Winnti malware family
Blackfly,aka,Winnti Groupe
gnisoft[.]com,attributed to,Winnti
attacker,use,WindowsUpServ.exe
Daxin,form,Windows kernel driver
OTLPE,allows access to,Windows files
obfuscated PowerShell script,drop,Windows batch script
LockBit,use,Windows RDP
unioncrypto[.]vip,seen in,Windows Program
Celas Trade Pro Application,tool,Windows Program
Device Guard,bypass,Windows PowerShell
BianLian group actors,use,Windows PowerShell
Yanluowang,use,Windows Management Instrumentation (WMI
living-off-the-land tools,include,Windows Management Instrumentation
CVE-2018-8304,handle,Windows Domain Name System
CVE-2018-8626,exploit,Windows Domain Name System
actors,disable,Windows Defender
Russian state-sponsored APT actors,use,Windows Command Shell
Cobalt Strike,use,Window admin shares
attacker,use,WinVNC
Msi.dll,act as,WinSCP installer
Bing search engine,leads to,WinSCP application
attacker,use,WinSCP
TrickBot,obtain,WinSCP
file.zip,contain,WinRing0x64.sys
attackers,configure,WinRM
Earth Preta,leverage,WinRAR binary
certutil.exe,download,WinRAR binary
Billbug,leverage,WinRAR
T1095,use,WinRAR
Merdoor,stage,WinRAR
attackers,download,WinRAR
Dr. Zeus,detected as,Win32/Spy.Ranbyus
Grayfly,aka,Wicked Panda
Wipers,linked,WhisperGate
Earth Kitsune,attribution,WhiskerSpy
Trochilus RAT,modified by,Webworm
Exmatter,add,WebDav client
web3.js library,loaded by,Water Labbu
oracle[.]zzhreceive[.]top,linked with,WatchDog
PsExec,launch,WastedLocker
attackers,use,WastedLocker
phishing email,contain,Warzone RAT
Lazarus,implicated in,WannaCry
attacker,use,WMIExec
CheckID,leverage,WMIC
attacker,use,WMIC
PAExec,lateral movement,WMIC
Chinese state-sponsored cyber actors,use,WMI
Telecoms attack,use,WMI
Quantum,use,WMI
logexts.dll,check,WINLOGON.EXE
Elfin,attack,W32.Disttrack
attacker,use,Vssadmin
ransomware,used tool,VssAdmin
BlackByte,use,VssAdmin
PingPull,upload to,VirusTotal
Joexpediagroup[.]com,recorded by,VirusTotal
runner.exe,install,VirtualBox VM
Budworm,use,Virtual Private Servers
Grixba,checks for existence of,Viewabo
Launcher_S0FT-2O23.exe,is,Vidar Stealer
third-party payment processors,include,Venmo
Smartcard device,description includes,"VendorId, ProductId, Revision, InfoRetrievedFromDevice, DeviceNameOrDescription"
Grixba,checks for existence of,Veeam Backup Recovery
Longhorn,link to,Vault 7
Backdoor.Preft,aka,Valefor
Play ransomware gang,use,VSS Copying Tool
Chinese state-sponsored cyber actors,communicate with,VPS infrastructure
APT actors,leverage,VPS
Vidar,use,VPN infrastructure
deerskin.exe,dropper for,VNC client
Grixba,checks for existence of,VNC Remote
